COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000844;1;CALLE;DE;VALDELINARES;VALDELINARES;29/03/1990;;V
00000845;1;CALLE;DE LA;ISLA DE TAGOMAGO;ISLA DE TAGOMAGO;29/03/1990;;V
00000846;1;CALLE;DE LA;ISLA DE ALEGRANZA;ISLA DE ALEGRANZA;29/03/1990;;V
00000847;1;CALLE;DE;HOCES DE LA HERMIDA;HOCES DE LA HERMIDA;29/03/1990;;V
00000848;1;CALLE;DE;VALLTER;VALLTER;29/03/1990;;V
00000849;1;TRAVESIA;DE;GANIMEDES;GANÍMEDES;29/03/1990;;V
00000850;1;CALLE;DE;VALDESQUI;VALDESQUÍ;29/03/1990;;V
00000851;1;CALLE;DE;JOSE ORTUÑO PONCE;JOSÉ ORTUÑO PONCE;29/03/1990;;V
00000852;2;CALLE;DE;HERENCIA;HERENCIA;30/11/1990;;V
00000852;1;CALLE;DE;CONSUELO RUBIO;CONSUELO RUBIO;29/03/1990;30/11/1990;V
00000853;2;CALLE;DE;HINOJOSA DEL DUQUE;HINOJOSA DEL DUQUE;30/11/1990;;V
00000853;1;CALLE;DE;GREGORIO LOPEZ MADERA;GREGORIO LÓPEZ MADERA;29/03/1990;30/11/1990;V
00000854;2;CALLE;DE;JOSE RAMON VIZCAINO;JOSÉ RAMÓN VIZCAÍNO;30/11/1990;;V
00000854;1;CALLE;DE;LUCAS MALLADA;LUCAS MALLADA;29/03/1990;30/11/1990;V
00000855;1;CALLE;DE;FRANCISCO IÑIGUEZ ALMECH;FRANCISCO ÍÑIGUEZ ALMECH;29/03/1990;;V
00000856;1;PLAZA;DE;NUESTRA SEÑORA DE LA CANDELARIA;NUESTRA SEÑORA DE LA CANDELARIA;29/03/1990;;V
00000857;1;GLORIETA;DEL;YUCATAN;YUCATÁN;27/04/1990;;V
00000858;1;AVENIDA;DE LOS;ANDES;ANDES;27/04/1990;;V
00000859;1;AVENIDA;DE;MACHUPICHU;MACHUPICHU;27/04/1990;;V
00000860;1;CALLE;DE;DOÑA GUIOMAR;DOÑA GUIOMAR;27/04/1990;;V
00000861;1;GLORIETA;DE;SAN MARTIN DE LA VEGA;SAN MARTÍN DE LA VEGA;27/04/1990;;V
00000862;1;TRAVESIA;DE;SANTA MARIA MAGDALENA;SANTA MARÍA MAGDALENA;27/04/1990;;V
00000863;1;PLAZA;DEL;DESCUBRIDOR DIEGO DE ORDAS;DESCUBRIDOR DIEGO DE ORDÁS;27/04/1990;;V
00000864;1;CALLE;DE;PUERTO REAL;PUERTO REAL;27/04/1990;;V
00000865;1;CALLE;DE;BRAOJOS;BRAOJOS;27/04/1990;;V
00000868;1;CALLE;DEL;PUERTO DE MIRAVETE;PUERTO DE MIRAVETE;31/05/1990;;V
00000869;1;CALLE;DEL;PUERTO DE LA CRUZ VERDE;PUERTO DE LA CRUZ VERDE;31/05/1990;;V
00000870;1;CALLE;DEL;TEJO;TEJO;31/05/1990;;V
00000871;1;CALLE;DEL;JACARANDA;JACARANDA;31/05/1990;;V
00000872;1;CALLE;DEL;ALMEZ;ALMEZ;31/05/1990;;V
00000873;1;CALLE;DEL;ACANTO;ACANTO;31/05/1990;;V
00000874;1;CALLE;DE LA;RETAMA;RETAMA;31/05/1990;;V
00000875;1;CALLE;DEL;OMBU;OMBÚ;31/05/1990;;V
00000876;1;CALLE;DE LA;KENTIA;KENTIA;31/05/1990;;V
00000877;1;CALLE;DEL;TAMARINDO;TAMARINDO;31/05/1990;;V
00000878;1;CALLE;DE;DENIA;DENIA;31/05/1990;;V
00000879;1;CALLE;DE;VALLDEMOSA;VALLDEMOSA;31/05/1990;;V
00000880;1;CALLE;DEL;VALLE DE BELAGUA;VALLE DE BELAGUA;31/05/1990;;V
00000881;1;CALLE;DEL;VALLE DE ANSO;VALLE DE ANSÓ;31/05/1990;;V
00000882;1;CALLE;DEL;VALLE DE CACHEMIRA;VALLE DE CACHEMIRA;31/05/1990;;V
00000883;1;CALLE;DEL;VALLE DEL BAZTAN;VALLE DEL BAZTÁN;31/05/1990;;V
00000884;1;CALLE;DEL;VALLE DE CARDOS;VALLE DE CARDOS;31/05/1990;;V
00000885;1;CALLE;DEL;VALLE DE PINETA;VALLE DE PINETA;31/05/1990;;V
00000886;1;CALLE;DEL;VALLE DE ORDESA;VALLE DE ORDESA;31/05/1990;;V
00000887;1;CALLE;DEL;VALLE DE TENA;VALLE DE TENA;31/05/1990;;V
00000888;1;GLORIETA;DEL;VALLE DE ARCE;VALLE DE ARCE;31/05/1990;;V
00000889;1;CALLE;DEL;VALLE DE MENA;VALLE DE MENA;31/05/1990;;V
00000890;1;CALLE;DEL;VALLE DE BERGANTIÑOS;VALLE DE BERGANTIÑOS;31/05/1990;;V
00000891;1;CALLE;DEL;VALLE DEL SILENCIO;VALLE DEL SILENCIO;31/05/1990;;V
00000892;1;CALLE;DEL;VALLE DE AÑISCLO;VALLE DE AÑISCLO;31/05/1990;;V
